#{"t_start": 1783350907.7420318, "env_id": "CartPole-v1"}
r,l,t
10.0,10,2.473243
8.0,8,2.474671
9.0,9,2.476139
10.0,10,2.479274
8.0,8,2.480679
10.0,10,2.482359
9.0,9,2.483962
10.0,10,2.487216
8.0,8,2.48861
9.0,9,2.490087
9.0,9,2.491594
9.0,9,2.494582
10.0,10,2.496133
10.0,10,2.498138
11.0,11,2.499904
8.0,8,2.502595
9.0,9,2.504496
11.0,11,2.506075
9.0,9,2.507954
11.0,11,2.510715
8.0,8,2.512168
9.0,9,2.514044
8.0,8,2.515558
9.0,9,2.518336
10.0,10,2.519895
10.0,10,2.52189
9.0,9,2.523381
9.0,9,2.525916
10.0,10,2.527822
9.0,9,2.529251
11.0,11,2.531337
9.0,9,2.53421
9.0,9,2.535688
8.0,8,2.537065
11.0,11,2.539113
9.0,9,2.541664
10.0,10,2.543542
10.0,10,2.545064
9.0,9,2.546938
10.0,10,2.549809
9.0,9,2.551276
10.0,10,2.553089
8.0,8,2.554575
10.0,10,2.557296
8.0,8,2.558677
9.0,9,2.560546
10.0,10,2.562079
10.0,10,2.565297
10.0,10,2.567405
10.0,10,2.569357
11.0,11,2.570918
9.0,9,2.574169
10.0,10,2.575752
10.0,10,2.578416
9.0,9,2.579885
10.0,10,2.582881
12.0,12,2.585029
11.0,11,2.586987
9.0,9,2.588432
11.0,11,2.591682
9.0,9,2.593108
8.0,8,2.594473
10.0,10,2.596396
9.0,9,2.599116
10.0,10,2.60104
8.0,8,2.602435
8.0,8,2.603907
8.0,8,2.606566
10.0,10,2.608119
13.0,13,2.610155
13.0,13,2.612728
9.0,9,2.615366
8.0,8,2.616837
10.0,10,2.618391
9.0,9,2.620252
9.0,9,2.622938
10.0,10,2.624457
10.0,10,2.626347
11.0,11,2.62836
9.0,9,2.630985
9.0,9,2.63261
9.0,9,2.634154
8.0,8,2.635629
9.0,9,2.638752
11.0,11,2.640358
11.0,11,2.642345
10.0,10,2.6443
8.0,8,2.64683
8.0,8,2.648163
8.0,8,2.649786
10.0,10,2.651397
9.0,9,2.654028
10.0,10,2.655912
10.0,10,2.657436
12.0,12,2.659482
9.0,9,2.662416
12.0,12,2.664455
10.0,10,2.666194
10.0,10,2.668169
11.0,11,2.670927
9.0,9,2.672768
10.0,10,2.674319
9.0,9,2.675793
9.0,9,2.678827
10.0,10,2.680386
10.0,10,2.68252
10.0,10,2.684841
9.0,9,2.68743
8.0,8,2.68884
11.0,11,2.69089
10.0,10,2.692788
9.0,9,2.695329
10.0,10,2.6968
10.0,10,2.698943
9.0,9,2.700505
9.0,9,2.703261
10.0,10,2.705194
10.0,10,2.706758
9.0,9,2.708654
9.0,9,2.711205
9.0,9,2.712694
10.0,10,2.714678
10.0,10,2.716481
9.0,9,2.719209
9.0,9,2.721086
10.0,10,2.722673
9.0,9,2.724135
9.0,9,2.727086
9.0,9,2.728565
8.0,8,2.729983
10.0,10,2.731512
8.0,8,2.734304
10.0,10,2.736255
9.0,9,2.737763
10.0,10,2.739796
10.0,10,2.742512
10.0,10,2.744441
10.0,10,2.746022
11.0,11,2.748021
11.0,11,2.751404
9.0,9,2.752916
12.0,12,2.755028
10.0,10,2.756629
9.0,9,2.759588
8.0,8,2.761009
9.0,9,2.762525
10.0,10,2.764067
8.0,8,2.766788
9.0,9,2.768679
11.0,11,2.770295
11.0,11,2.772324
10.0,10,2.775422
10.0,10,2.776941
10.0,10,2.778847
10.0,10,2.780396
10.0,10,2.786881
9.0,9,2.788426
10.0,10,2.789962
10.0,10,2.791915
9.0,9,2.794607
9.0,9,2.796038
10.0,10,2.79798
9.0,9,2.799666
9.0,9,2.802475
11.0,11,2.804485
9.0,9,2.805933
10.0,10,2.807909
10.0,10,2.81058
10.0,10,2.812486
9.0,9,2.813924
10.0,10,2.816139
10.0,10,2.819
10.0,10,2.820935
11.0,11,2.82255
9.0,9,2.824434
11.0,11,2.82716
8.0,8,2.828538
10.0,10,2.830445
11.0,11,2.832702
9.0,9,2.835369
10.0,10,2.836992
8.0,8,2.838378
10.0,10,2.840339
10.0,10,2.843016
9.0,9,2.844844
9.0,9,2.846256
10.0,10,2.84773
9.0,9,2.850918
10.0,10,2.852492
9.0,9,2.853971
9.0,9,2.855846
9.0,9,2.858515
9.0,9,2.859932
12.0,12,2.861941
9.0,9,2.86341
8.0,8,2.866076
8.0,8,2.867458
10.0,10,2.869346
9.0,9,2.870855
10.0,10,2.874027
9.0,9,2.875453
9.0,9,2.87689
9.0,9,2.878374
9.0,9,2.881366
10.0,10,2.883404
9.0,9,2.884881
9.0,9,2.886941
10.0,10,2.890405
9.0,9,2.89191
9.0,9,2.893806
10.0,10,2.895376
10.0,10,2.898368
9.0,9,2.900031
10.0,10,2.901597
9.0,9,2.903482
8.0,8,2.906115
9.0,9,2.907584
9.0,9,2.909072
9.0,9,2.910598
11.0,11,2.913825
11.0,11,2.916036
9.0,9,2.917614
11.0,11,2.919524
9.0,9,2.922193
10.0,10,2.92411
8.0,8,2.925513
9.0,9,2.927026
10.0,10,2.929686
10.0,10,2.931606
11.0,11,2.933836
9.0,9,2.935349
10.0,10,2.938039
9.0,9,2.939941
10.0,10,2.941504
9.0,9,2.942947
10.0,10,2.94608
9.0,9,2.947505
10.0,10,2.949614
9.0,9,2.951137
10.0,10,2.953973
9.0,9,2.955831
10.0,10,2.957452
8.0,8,2.958905
9.0,9,2.961545
10.0,10,2.963533
9.0,9,2.965019
11.0,11,2.967295
10.0,10,2.970079
8.0,8,2.971453
11.0,11,2.973458
10.0,10,2.975448
10.0,10,2.978074
10.0,10,2.980022
8.0,8,2.981433
8.0,8,2.983081
9.0,9,2.985762
8.0,8,2.987177
8.0,8,2.988584
8.0,8,2.990028
10.0,10,2.99337
9.0,9,2.995343
11.0,11,2.996939
11.0,11,2.999114
10.0,10,3.00227
10.0,10,3.003813
10.0,10,3.005706
10.0,10,3.007316
9.0,9,3.009892
10.0,10,3.011816
9.0,9,3.01325
10.0,10,3.015312
10.0,10,3.018088
9.0,9,3.019525
9.0,9,3.021433
11.0,11,3.023069
9.0,9,3.026061
9.0,9,3.027529
10.0,10,3.02907
10.0,10,3.031114
8.0,8,3.033926
10.0,10,3.035512
10.0,10,3.037462
10.0,10,3.03908
9.0,9,3.042009
10.0,10,3.043541
8.0,8,3.04489
10.0,10,3.046855
10.0,10,3.049696
10.0,10,3.051635
9.0,9,3.053095
10.0,10,3.054653
10.0,10,3.057757
9.0,9,3.059233
10.0,10,3.061159
8.0,8,3.062629
10.0,10,3.065411
9.0,9,3.067146
10.0,10,3.069112
9.0,9,3.070576
9.0,9,3.073268
9.0,9,3.075129
10.0,10,3.076686
9.0,9,3.078203
9.0,9,3.081248
9.0,9,3.082886
9.0,9,3.084356
9.0,9,3.085867
8.0,8,3.088496
10.0,10,3.090406
9.0,9,3.091828
9.0,9,3.094031
8.0,8,3.096568
10.0,10,3.098855
9.0,9,3.100388
9.0,9,3.101853
11.0,11,3.105009
9.0,9,3.106509
10.0,10,3.108484
9.0,9,3.109943
10.0,10,3.113016
9.0,9,3.114633
8.0,8,3.116077
10.0,10,3.117613
9.0,9,3.120566
10.0,10,3.122128
9.0,9,3.123614
10.0,10,3.125529
10.0,10,3.128151
10.0,10,3.130103
10.0,10,3.131641
9.0,9,3.133781
10.0,10,3.136594
10.0,10,3.138516
9.0,9,3.13998
10.0,10,3.14152
8.0,8,3.143976
14.0,14,3.146523
10.0,10,3.148225
10.0,10,3.150252
10.0,10,3.152926
9.0,9,3.15472
8.0,8,3.156072
11.0,11,3.157711
10.0,10,3.160784
8.0,8,3.162192
9.0,9,3.163604
8.0,8,3.164955
9.0,9,3.167815
10.0,10,3.169705
9.0,9,3.171207
10.0,10,3.173222
9.0,9,3.175795
10.0,10,3.177332
10.0,10,3.179252
11.0,11,3.181323
9.0,9,3.184132
9.0,9,3.185609
13.0,13,3.187704
10.0,10,3.189683
10.0,10,3.192309
9.0,9,3.19487
11.0,11,3.196482
10.0,10,3.198406
10.0,10,3.201313
9.0,9,3.203113
10.0,10,3.204694
10.0,10,3.206698
9.0,9,3.209256
14.0,14,3.211406
10.0,10,3.213357
9.0,9,3.214858
9.0,9,3.217771
9.0,9,3.219658
10.0,10,3.221248
8.0,8,3.22267
10.0,10,3.225747
8.0,8,3.227151
10.0,10,3.228688
9.0,9,3.230228
9.0,9,3.233327
9.0,9,3.234821
10.0,10,3.236313
